Starting training at 2025. 04. 12. (토) 10:10:12 KST
Epoch 89/100 - Train Loss: -56.1046 - Validation Loss: -29.5635
Epoch 90/100 - Train Loss: -56.4498 - Validation Loss: -29.6157
Epoch 91/100 - Train Loss: -56.5117 - Validation Loss: -29.6667
Epoch 92/100 - Train Loss: -56.5045 - Validation Loss: -29.7169
Epoch 93/100 - Train Loss: -56.6892 - Validation Loss: -29.7657
Epoch 94/100 - Train Loss: -56.7422 - Validation Loss: -29.8132
Epoch 95/100 - Train Loss: -56.8077 - Validation Loss: -29.8593
Epoch 96/100 - Train Loss: -56.9264 - Validation Loss: -29.9044
Epoch 97/100 - Train Loss: -57.1184 - Validation Loss: -29.9482
Epoch 98/100 - Train Loss: -57.0191 - Validation Loss: -29.9912
Epoch 99/100 - Train Loss: -57.2063 - Validation Loss: -30.0329
Epoch 100/100 - Train Loss: -57.4406 - Validation Loss: -30.0741
Training finished at 2025. 04. 12. (토) 10:18:06 KST
